fund,alpha_quarterly,alpha_annualized,alpha_quarterly_ci_low,alpha_quarterly_ci_high,alpha_annualized_ci_low,alpha_annualized_ci_high,t_alpha,p_alpha,r2,n_obs,beta_equity,beta_duration,beta_credit,beta_real_estate,beta_fx,p_alpha_holm
Kring Sligro (Achmea),0.006634764984153471,0.0268043507649951,-0.0026564185797636137,0.015925948548070556,-0.010583409891938844,0.0652418311115246,1.3995956839481418,0.16163442717286602,0.929585556612933,21,0.17458736568265731,0.6316168517892895,0.5305307405592776,-0.045044260108362925,-0.18811560480640166,1.0
Kring equensWorldline (Achmea),0.004867240935696108,0.019611565730377922,-0.0023701128697992202,0.012104594741191438,-0.009446800093368068,0.04930462203598163,1.3181084128842737,0.18746735864025366,0.9379407047649746,20,0.0244691538476966,0.6148024469138251,0.33774438658725814,8.763990662996601e-05,-0.03458247868697989,1.0
Kring AFM (De Nationale),0.00486593231707439,0.019606254461302486,-0.0049809434506449144,0.014712808084793694,-0.01977540870589911,0.06016281886079056,0.9685358399605639,0.3327768287072952,0.8718222431968834,28,0.11877247618248123,0.817120240387568,0.3380631456348253,0.014620226211221297,0.10883685039343975,1.0
Kring DB-A (De Nationale),0.004857419378151555,0.01957170364137273,-0.002640471420595392,0.012355310176898502,-0.01052012673624414,0.050344730482884126,1.269739356643477,0.20417748868146945,0.8626101596135326,32,0.15463998320384215,0.5395011628645664,0.388256228627762,0.01605215073273024,0.058695982141712885,1.0
BPF Foodservice,0.003405781188829371,0.013692878982229928,-0.0034075818374623835,0.010219144215121125,-0.013560815801245463,0.04150744199529344,0.9797230007517491,0.3272228693006074,0.9354717031065928,40,0.11725309866196582,0.6613642551219163,0.6136271270218436,0.026310767617970847,0.1545885652867667,1.0
Kappersbedrijf,0.0033902842779283742,0.013630257280819569,-0.0038303102398714534,0.010610878795728203,-0.015233437867200439,0.04312385109965211,0.9202614917250236,0.35743612725462226,0.9192513167781893,39,0.15916180323522153,0.9103969217655349,0.29015994267012896,-2.194534592188553e-05,0.13215001122388279,1.0
Detailhandel,0.0033516855610531944,0.013474295755620425,-0.003654384660205249,0.010357755782311639,-0.014537606509327339,0.042079178116785076,0.9376416135873695,0.34842861827788585,0.9204388666789809,40,0.20611337626373,0.7043698061021918,0.3901894017492288,0.01833472830504536,0.042531962083231956,1.0
Nederlandsche Bank,0.0027446280814728517,0.011023792983421155,-0.0023924963289008823,0.007881752491846587,-0.009535695829702373,0.031901704482206084,1.0471563000851476,0.2950274964979055,0.9497914751887342,39,0.21244511171466757,0.618987587199557,0.14483540132820397,0.06949442710070824,-0.037418643391072495,1.0
Apothekers,0.002696492490348202,0.010829674870326267,-0.004435587460599209,0.009828572441295614,-0.01762465190931839,0.039897701907574135,0.7410220022790326,0.45868009979563584,0.8952182613087841,40,0.15619137796293853,0.4777711077167952,0.22896177443987084,0.056152559470868946,-0.023162122997388013,1.0
IFF,0.00267508772553282,0.010743364092097307,-0.002805021184769824,0.008155196635835464,-0.011172964095330085,0.03302200387779308,0.9567466054684564,0.3386951683556719,0.9207117267773217,39,0.10598813164034726,0.502041779859697,0.47520053321357797,0.035224050897843986,0.093613462896172,1.0
