fund,year,return_type,dnb_compounded_annual_return,n_quarters,quarters_present,annual_sample_status,official_annual_return,source,source_url,notes,difference,difference_pp,reconciliation_status
ABN AMRO Bank,2015,return_quarterly,0.005578203211999977,4,"1,2,3,4",complete_year,,,,,,,no_official_return
ABN AMRO Bank,2016,return_quarterly,0.12411085328000016,4,"1,2,3,4",complete_year,,,,,,,no_official_return
ABN AMRO Bank,2017,return_quarterly,0.020759144499999937,4,"1,2,3,4",complete_year,,,,,,,no_official_return
ABN AMRO Bank,2018,return_quarterly,0.013020986977999804,4,"1,2,3,4",complete_year,,,,,,,no_official_return
ABN AMRO Bank,2019,return_quarterly,0.21768974600000002,4,"1,2,3,4",complete_year,,,,,,,no_official_return
ABN AMRO Bank,2020,return_quarterly,0.09501469846999999,4,"1,2,3,4",complete_year,,,,,,,no_official_return
ABN AMRO Bank,2021,return_quarterly,-0.009700645576000144,4,"1,2,3,4",complete_year,,,,,,,no_official_return
ABN AMRO Bank,2022,return_quarterly,-0.2517513333399999,4,"1,2,3,4",complete_year,,,,,,,no_official_return
ABN AMRO Bank,2023,return_quarterly,0.0758024950399998,4,"1,2,3,4",complete_year,,,,,,,no_official_return
ABN AMRO Bank,2024,return_quarterly,0.04442443951999997,4,"1,2,3,4",complete_year,,,,,,,no_official_return
ABP,2015,return_quarterly,0.028108131776000134,4,"1,2,3,4",complete_year,0.027,ABP beleggingsresultaten Rendement 2008-2025,https://www.abp.nl/over-abp/beleggingen/beleggingsresultaten,,0.001108131776000134,0.1108131776000134,ok
ABP,2016,return_quarterly,0.09489027866400002,4,"1,2,3,4",complete_year,0.095,ABP beleggingsresultaten Rendement 2008-2025,https://www.abp.nl/over-abp/beleggingen/beleggingsresultaten,,-0.0001097213359999849,-0.01097213359999849,ok
ABP,2017,return_quarterly,0.07679768000000009,4,"1,2,3,4",complete_year,0.076,ABP beleggingsresultaten Rendement 2008-2025,https://www.abp.nl/over-abp/beleggingen/beleggingsresultaten,,0.0007976800000000922,0.07976800000000922,ok
ABP,2018,return_quarterly,-0.0231894116200001,4,"1,2,3,4",complete_year,-0.023,ABP beleggingsresultaten Rendement 2008-2025,https://www.abp.nl/over-abp/beleggingen/beleggingsresultaten,,-0.0001894116200001003,-0.01894116200001003,ok
ABP,2019,return_quarterly,0.1487189103319999,4,"1,2,3,4",complete_year,0.168,ABP beleggingsresultaten Rendement 2008-2025,https://www.abp.nl/over-abp/beleggingen/beleggingsresultaten,,-0.0192810896680001,-1.9281089668000102,review_difference
ABP,2020,return_quarterly,0.05061139455999997,4,"1,2,3,4",complete_year,0.066,ABP beleggingsresultaten Rendement 2008-2025,https://www.abp.nl/over-abp/beleggingen/beleggingsresultaten,,-0.015388605440000036,-1.5388605440000036,review_difference
ABP,2021,return_quarterly,0.1250615982919998,4,"1,2,3,4",complete_year,0.114,ABP beleggingsresultaten Rendement 2008-2025,https://www.abp.nl/over-abp/beleggingen/beleggingsresultaten,ABP meldt dat 2021 is aangepast na definitieve jaarrekening.,0.011061598291999805,1.1061598291999806,review_difference
ABP,2022,return_quarterly,-0.17638208446400006,4,"1,2,3,4",complete_year,-0.176,ABP beleggingsresultaten Rendement 2008-2025,https://www.abp.nl/over-abp/beleggingen/beleggingsresultaten,,-0.00038208446400006535,-0.038208446400006535,ok
ABP,2023,return_quarterly,0.09259624598299987,4,"1,2,3,4",complete_year,0.093,ABP beleggingsresultaten Rendement 2008-2025,https://www.abp.nl/over-abp/beleggingen/beleggingsresultaten,,-0.0004037540170001297,-0.04037540170001297,ok
ABP,2024,return_quarterly,0.08593784900000001,4,"1,2,3,4",complete_year,0.084,ABP beleggingsresultaten Rendement 2008-2025,https://www.abp.nl/over-abp/beleggingen/beleggingsresultaten,ABP meldt dat 2024 is aangepast na definitieve jaarrekening.,0.0019378490000000054,0.19378490000000054,ok
AHOLD,2015,return_quarterly,-0.012319088640000087,4,"1,2,3,4",complete_year,,,,,,,no_official_return
AHOLD,2016,return_quarterly,0.10671824257999996,4,"1,2,3,4",complete_year,,,,,,,no_official_return
AHOLD,2017,return_quarterly,0.029991235999999866,4,"1,2,3,4",complete_year,,,,,,,no_official_return
AHOLD,2018,return_quarterly,-0.0070904523700001665,4,"1,2,3,4",complete_year,,,,,,,no_official_return
AHOLD,2019,return_quarterly,0.2270297444160001,4,"1,2,3,4",complete_year,,,,,,,no_official_return
AHOLD,2020,return_quarterly,0.08999080189999975,4,"1,2,3,4",complete_year,,,,,,,no_official_return
AHOLD,2021,return_quarterly,0.0332262100159999,4,"1,2,3,4",complete_year,,,,,,,no_official_return
AHOLD,2022,return_quarterly,-0.24451411411199986,4,"1,2,3,4",complete_year,,,,,,,no_official_return
AHOLD,2023,return_quarterly,0.09577022463999962,4,"1,2,3,4",complete_year,,,,,,,no_official_return
AHOLD,2024,return_quarterly,0.08123265754399989,4,"1,2,3,4",complete_year,,,,,,,no_official_return
APF,2015,return_quarterly,-0.0076260929439998515,4,"1,2,3,4",complete_year,,,,,,,no_official_return
APF,2016,return_quarterly,0.07647355289600011,4,"1,2,3,4",complete_year,,,,,,,no_official_return
APF,2017,return_quarterly,0.07477612087999996,4,"1,2,3,4",complete_year,,,,,,,no_official_return
APF,2018,return_quarterly,-0.03558242149000024,4,"1,2,3,4",complete_year,,,,,,,no_official_return
APF,2019,return_quarterly,0.14203112635299964,4,"1,2,3,4",complete_year,,,,,,,no_official_return
APF,2020,return_quarterly,0.05097510627200008,4,"1,2,3,4",complete_year,,,,,,,no_official_return
APF,2021,return_quarterly,0.06719093280799981,4,"1,2,3,4",complete_year,,,,,,,no_official_return
APF,2022,return_quarterly,-0.1867200960319999,4,"1,2,3,4",complete_year,,,,,,,no_official_return
APF,2023,return_quarterly,0.09719246772800005,4,"1,2,3,4",complete_year,,,,,,,no_official_return
APF,2024,return_quarterly,0.0752421182749996,4,"1,2,3,4",complete_year,,,,,,,no_official_return
AT&T Nederland,2015,return_quarterly,0.02830362157599975,4,"1,2,3,4",complete_year,,,,,,,no_official_return
AT&T Nederland,2016,return_quarterly,0.08200970320399992,4,"1,2,3,4",complete_year,,,,,,,no_official_return
AT&T Nederland,2017,return_quarterly,0.0351099332,4,"1,2,3,4",complete_year,,,,,,,no_official_return
AT&T Nederland,2018,return_quarterly,-0.023483637640000166,4,"1,2,3,4",complete_year,,,,,,,no_official_return
AT&T Nederland,2019,return_quarterly,0.16349364969199964,4,"1,2,3,4",complete_year,,,,,,,no_official_return
AT&T Nederland,2020,return_quarterly,0.06780041830400019,4,"1,2,3,4",complete_year,,,,,,,no_official_return
AT&T Nederland,2021,return_quarterly,0.029030477425999734,4,"1,2,3,4",complete_year,,,,,,,no_official_return
AT&T Nederland,2022,return_quarterly,-0.19480891579199988,4,"1,2,3,4",complete_year,,,,,,,no_official_return
AT&T Nederland,2023,return_quarterly,0.08948175322999963,4,"1,2,3,4",complete_year,,,,,,,no_official_return
AT&T Nederland,2024,return_quarterly,0.0839682621440001,4,"1,2,3,4",complete_year,,,,,,,no_official_return
AVEBE,2015,return_quarterly,0.0001717806079997164,4,"1,2,3,4",complete_year,,,,,,,no_official_return
AVEBE,2016,return_quarterly,0.09560051974999983,4,"1,2,3,4",complete_year,,,,,,,no_official_return
AVEBE,2017,return_quarterly,0.12060925243999998,4,"1,2,3,4",complete_year,,,,,,,no_official_return
AVEBE,2018,return_quarterly,-0.07385144148999989,4,"1,2,3,4",complete_year,,,,,,,no_official_return
AVEBE,2019,return_quarterly,0.23341061135599994,4,"1,2,3,4",complete_year,,,,,,,no_official_return
AVEBE,2020,return_quarterly,0.1256452064,4,"1,2,3,4",complete_year,,,,,,,no_official_return
AVEBE,2021,return_quarterly,0.18767956306999967,4,"1,2,3,4",complete_year,,,,,,,no_official_return
AVEBE,2022,return_quarterly,-0.15701501825200004,4,"1,2,3,4",complete_year,,,,,,,no_official_return
AVEBE,2023,return_quarterly,0.1777841308699999,4,"1,2,3,4",complete_year,,,,,,,no_official_return
AVEBE,2024,return_quarterly,0.1754772509479996,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Abbott Nederland,2015,return_quarterly,-0.02480921200000019,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Abbott Nederland,2016,return_quarterly,0.1421672001919998,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Abbott Nederland,2017,return_quarterly,0.045289920289999896,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Abbott Nederland,2018,return_quarterly,-0.010363017925000273,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Abbott Nederland,2019,return_quarterly,0.21982772001200002,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Abbott Nederland,2020,return_quarterly,0.16285389000000028,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Abbott Nederland,2021,return_quarterly,-0.007414466750000126,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Abbott Nederland,2022,return_quarterly,-0.2988245252799998,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Abbott Nederland,2023,return_quarterly,0.10140771760599976,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Abbott Nederland,2024,return_quarterly,0.107875648464,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Achmea,2015,return_quarterly,0.004468631449999982,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Achmea,2016,return_quarterly,0.10473101647999994,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Achmea,2017,return_quarterly,0.04657646038399976,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Achmea,2018,return_quarterly,-0.01642831753600027,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Achmea,2019,return_quarterly,0.17472697999999998,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Achmea,2020,return_quarterly,0.12441656203999951,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Achmea,2021,return_quarterly,0.030299611327999854,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Achmea,2022,return_quarterly,-0.21993992015200003,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Achmea,2023,return_quarterly,0.08880420819999957,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Achmea,2024,return_quarterly,0.08362571111899952,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Alliance,2015,return_quarterly,0.035795743423999715,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Alliance,2016,return_quarterly,0.06817096601599992,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Alliance,2017,return_quarterly,0.04762782144799971,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Alliance,2018,return_quarterly,-0.0206827408000001,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Alliance,2019,return_quarterly,0.23422488862399993,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Alliance,2020,return_quarterly,0.09226557440000027,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Alliance,2021,return_quarterly,0.060952355647999834,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Alliance,2022,return_quarterly,-0.29323579635999997,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Alliance,2023,return_quarterly,0.11367185602399998,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Alliance,2024,return_quarterly,0.1013108064199999,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Apothekers,2015,return_quarterly,-0.0006915711249999568,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Apothekers,2016,return_quarterly,0.1111559536400002,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Apothekers,2017,return_quarterly,0.06541563497599978,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Apothekers,2018,return_quarterly,-0.03293012396799999,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Apothekers,2019,return_quarterly,0.18382006814999974,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Apothekers,2020,return_quarterly,0.11486445600000006,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Apothekers,2021,return_quarterly,-0.0010032851200001414,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Apothekers,2022,return_quarterly,-0.17980295287600012,4,"1,2,3,4",complete_year,,,,,,,no_official_return
Apothekers,2023,return_quarterly,0.07952537860999986,4,"1,2,3,4",complete_year,,,,,,,no_official_return
