fund,year,return_type,dnb_compounded_annual_return,n_quarters,quarters_present,annual_sample_status
ABN AMRO Bank,2015,return_after_ter,0.003967206283082669,4,"1,2,3,4",complete_year
ABN AMRO Bank,2016,return_after_ter,0.12225579095613215,4,"1,2,3,4",complete_year
ABN AMRO Bank,2017,return_after_ter,0.019034765567583767,4,"1,2,3,4",complete_year
ABN AMRO Bank,2018,return_after_ter,0.011205864544461042,4,"1,2,3,4",complete_year
ABN AMRO Bank,2019,return_after_ter,0.2161815808762606,4,"1,2,3,4",complete_year
ABN AMRO Bank,2020,return_after_ter,0.09330351456051433,4,"1,2,3,4",complete_year
ABN AMRO Bank,2021,return_after_ter,-0.011386424511187987,4,"1,2,3,4",complete_year
ABN AMRO Bank,2022,return_after_ter,-0.2532791977823715,4,"1,2,3,4",complete_year
ABN AMRO Bank,2023,return_after_ter,0.07379526024729866,4,"1,2,3,4",complete_year
ABN AMRO Bank,2024,return_after_ter,0.04287597379345698,4,"1,2,3,4",complete_year
ABP,2015,return_after_ter,0.021292869270641557,4,"1,2,3,4",complete_year
ABP,2016,return_after_ter,0.08775381046325603,4,"1,2,3,4",complete_year
ABP,2017,return_after_ter,0.06880849519922783,4,"1,2,3,4",complete_year
ABP,2018,return_after_ter,-0.030033705007171396,4,"1,2,3,4",complete_year
ABP,2019,return_after_ter,0.141429514641489,4,"1,2,3,4",complete_year
ABP,2020,return_after_ter,0.042542432613898784,4,"1,2,3,4",complete_year
ABP,2021,return_after_ter,0.1133559253205656,4,"1,2,3,4",complete_year
ABP,2022,return_after_ter,-0.1818045714735168,4,"1,2,3,4",complete_year
ABP,2023,return_after_ter,0.08694837995646365,4,"1,2,3,4",complete_year
ABP,2024,return_after_ter,0.08021536294974507,4,"1,2,3,4",complete_year
AHOLD,2015,return_after_ter,-0.016976100615269774,4,"1,2,3,4",complete_year
AHOLD,2016,return_after_ter,0.10305487106153133,4,"1,2,3,4",complete_year
AHOLD,2017,return_after_ter,0.026116752711165203,4,"1,2,3,4",complete_year
AHOLD,2018,return_after_ter,-0.010463838289813565,4,"1,2,3,4",complete_year
AHOLD,2019,return_after_ter,0.22272346667236764,4,"1,2,3,4",complete_year
AHOLD,2020,return_after_ter,0.0867937298755217,4,"1,2,3,4",complete_year
AHOLD,2021,return_after_ter,0.03056606491536651,4,"1,2,3,4",complete_year
AHOLD,2022,return_after_ter,-0.24653867988878098,4,"1,2,3,4",complete_year
AHOLD,2023,return_after_ter,0.09245172128787837,4,"1,2,3,4",complete_year
AHOLD,2024,return_after_ter,0.0780578736001103,4,"1,2,3,4",complete_year
APF,2015,return_after_ter,-0.013179919887353897,4,"1,2,3,4",complete_year
APF,2016,return_after_ter,0.07057895185757657,4,"1,2,3,4",complete_year
APF,2017,return_after_ter,0.06972709157938572,4,"1,2,3,4",complete_year
APF,2018,return_after_ter,-0.040431447122665554,4,"1,2,3,4",complete_year
APF,2019,return_after_ter,0.13630713140431872,4,"1,2,3,4",complete_year
APF,2020,return_after_ter,0.04455605771207538,4,"1,2,3,4",complete_year
APF,2021,return_after_ter,0.06071023920539553,4,"1,2,3,4",complete_year
APF,2022,return_after_ter,-0.1920093782847654,4,"1,2,3,4",complete_year
APF,2023,return_after_ter,0.09195194645523252,4,"1,2,3,4",complete_year
APF,2024,return_after_ter,0.06987623876340288,4,"1,2,3,4",complete_year
AT&T Nederland,2015,return_after_ter,0.01925565531502338,4,"1,2,3,4",complete_year
AT&T Nederland,2016,return_after_ter,0.07420120828340115,4,"1,2,3,4",complete_year
AT&T Nederland,2017,return_after_ter,0.027151101815477974,4,"1,2,3,4",complete_year
AT&T Nederland,2018,return_after_ter,-0.03158784327084496,4,"1,2,3,4",complete_year
AT&T Nederland,2019,return_after_ter,0.15402675864152449,4,"1,2,3,4",complete_year
AT&T Nederland,2020,return_after_ter,0.05869997640365576,4,"1,2,3,4",complete_year
AT&T Nederland,2021,return_after_ter,0.021106891491798896,4,"1,2,3,4",complete_year
AT&T Nederland,2022,return_after_ter,-0.20132032562843305,4,"1,2,3,4",complete_year
AT&T Nederland,2023,return_after_ter,0.08078103239116086,4,"1,2,3,4",complete_year
AT&T Nederland,2024,return_after_ter,0.07562360797899381,4,"1,2,3,4",complete_year
AVEBE,2015,return_after_ter,-0.008481265713270236,4,"1,2,3,4",complete_year
AVEBE,2016,return_after_ter,0.08676521306138785,4,"1,2,3,4",complete_year
AVEBE,2017,return_after_ter,0.11745707550981432,4,"1,2,3,4",complete_year
AVEBE,2018,return_after_ter,-0.07715130373002499,4,"1,2,3,4",complete_year
AVEBE,2019,return_after_ter,0.22873984230712163,4,"1,2,3,4",complete_year
