fund,period,period_original,year,quarter,return_quarterly,dnb_reporter,source_return_post,used_ter_year,asset_management_costs,transaction_costs,ter_annual,ter_quarterly,source_type,confidence,notes,return_after_ter,ter_missing_policy_applied,rf,equity,duration,credit,real_estate,fx,excess_return_after_ter
ABN AMRO Bank,2015Q1,2015K1,2015,1,0.129,ABN AMRO Bank,Kwartaalrendement beleggingen risico fonds (in percentages),2015,0.0011,0.0005,0.0016,0.00039976022375398657,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,0.12860023977624602,exact,0.0,0.1511712335541488,0.1418828219126287,0.0122918538476994,0.2002237762098073,0.1095047031222968,0.12860023977624602
ABN AMRO Bank,2015Q2,2015K2,2015,2,-0.119,ABN AMRO Bank,Kwartaalrendement beleggingen risico fonds (in percentages),2015,0.0011,0.0005,0.0016,0.00039976022375398657,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,-0.11939976022375398,exact,-0.0004938854642255,-0.0359065794351126,-0.1525830981809418,-0.0299841489815314,-0.1093679919562758,-0.0362614747339837,-0.11890587475952848
ABN AMRO Bank,2015Q3,2015K3,2015,3,-0.001,ABN AMRO Bank,Kwartaalrendement beleggingen risico fonds (in percentages),2015,0.0011,0.0005,0.0016,0.00039976022375398657,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,-0.0013997602237539866,exact,-0.0005657028882973,-0.0854783388536183,0.0625972599826122,-0.0037535881492603,0.0386244070160811,-0.002937806514988,-0.0008340573354566865
ABN AMRO Bank,2015Q4,2015K4,2015,4,0.012,ABN AMRO Bank,Kwartaalrendement beleggingen risico fonds (in percentages),2015,0.0011,0.0005,0.0016,0.00039976022375398657,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,0.011600239776246014,exact,-0.0008885589426071,0.0931675525851799,0.0017238862912901,0.0163127662785816,0.0592580891397488,0.0286032917238789,0.012488798718853113
ABN AMRO Bank,2016Q1,2016K1,2016,1,0.083,ABN AMRO Bank,Kwartaalrendement beleggingen risico fonds (in percentages),2016,0.0011,0.0006,0.0017,0.00042472933086612485,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,0.08257527066913388,exact,-0.0010542623375449,-0.0533406838777802,0.0912258815376816,0.0267757758256841,0.0319303460850708,-0.0366448730103767,0.08362953300667877
ABN AMRO Bank,2016Q2,2016K2,2016,2,0.048,ABN AMRO Bank,Kwartaalrendement beleggingen risico fonds (in percentages),2016,0.0011,0.0006,0.0017,0.00042472933086612485,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,0.047575270669133876,exact,-0.0011485994043496,0.0324116251350308,0.0608969793770322,0.0168683635620507,0.0173948391974843,0.0182277441004068,0.04872387007348348
ABN AMRO Bank,2016Q3,2016K3,2016,3,0.02,ABN AMRO Bank,Kwartaalrendement beleggingen risico fonds (in percentages),2016,0.0011,0.0006,0.0017,0.00042472933086612485,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,0.019575270669133876,exact,-0.0012650767315374,0.0441106743180912,0.0124921488257012,0.0180068606882921,0.0480702367334542,-0.0082239899045355,0.020840347400671276
ABN AMRO Bank,2016Q4,2016K4,2016,4,-0.0289999999999999,ABN AMRO Bank,Kwartaalrendement beleggingen risico fonds (in percentages),2016,0.0011,0.0006,0.0017,0.00042472933086612485,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,-0.029424729330866026,exact,-0.0013097254056969,0.0873561840803528,-0.0853095328074178,-0.0103111010982954,-0.0476456716100371,0.0574238005961756,-0.028115003925169125
ABN AMRO Bank,2017Q1,2017K1,2017,1,0.004,ABN AMRO Bank,Kwartaalrendement beleggingen risico fonds (in percentages),2017,0.001,0.0007,0.0017,0.00042472933086612485,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,0.0035752706691338752,exact,-0.0011890622110223,0.0502017063490404,-0.0341803585921353,0.0011575237041764,0.0143097241924522,-0.0105694808888356,0.004764332880156175
ABN AMRO Bank,2017Q2,2017K2,2017,2,-0.015,ABN AMRO Bank,Kwartaalrendement beleggingen risico fonds (in percentages),2017,0.001,0.0007,0.0017,0.00042472933086612485,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,-0.015424729330866124,exact,-0.0013779554430616,-0.0260658885189492,0.0081322326762748,0.0057927894244863,0.0588909487629111,-0.070606402745978,-0.014046773887804525
