pair,fund_1,fund_2,alpha_quarterly,alpha_annualized,t_alpha,p_alpha,r2,n_obs,beta_equity,beta_duration,beta_credit,beta_real_estate,beta_fx,p_alpha_holm
Pensioenkring GE Nederland (Stap) minus TNO,Pensioenkring GE Nederland (Stap),TNO,-0.01053777135417761,-0.041489485986602515,-11.537715496167111,8.51568577398296e-31,0.9532309673703638,14,0.27866763285957774,-0.1448026988792544,0.3739155384481894,-0.010413097155180975,-0.23424936817147493,1.2082054976127022e-26
Medewerkers Apotheken minus Pensioenkring GE Nederland (Stap),Medewerkers Apotheken,Pensioenkring GE Nederland (Stap),-0.011116602185394824,-0.04373041551235424,-9.947769712431692,2.5789811221232848e-23,0.6297931130419918,14,0.03121132598759646,-0.19276277758590515,0.5314620347428225,0.027032153899790516,0.08166830165975267,3.658800517956304e-19
Bisdommen minus Pensioenkring GE Nederland (Stap),Bisdommen,Pensioenkring GE Nederland (Stap),0.0032673390091539152,0.013133548697751962,8.974993744424033,2.833678924674673e-19,0.9826749952739604,14,-0.22091488417587138,0.07131192751659862,-0.6971799645951491,0.04897841940327863,0.27747849104592737,4.019856922543491e-15
Kring equensWorldline (Achmea) minus Medewerkers Apotheken,Kring equensWorldline (Achmea),Medewerkers Apotheken,0.00930345369770277,0.037736368800536324,8.944986304740812,3.7199587762082975e-19,0.9022698421183719,20,-0.21602373207679706,0.10712401660847296,-0.17027680787911412,-0.02013187192136563,0.16061359372126144,5.27676152405147e-15
Hagee minus Kring ES Nederland (Achmea),Hagee,Kring ES Nederland (Achmea),-0.007516899871199756,-0.029730272523216472,-8.620702140980965,6.654479989257781e-18,0.8090266569717695,13,0.20335083779641644,-0.179977677924129,0.06997875943695829,0.039526906854248756,-0.04257891283805784,9.438714416763236e-14
Kring ES Nederland (Achmea) minus Levensmiddelenbedrijf,Kring ES Nederland (Achmea),Levensmiddelenbedrijf,0.011881341255429768,0.048379091548314435,8.600359966656475,7.94664557164043e-18,0.7959742738855029,13,-0.17198386442191121,0.08266246535039233,-0.005624217895669746,-0.08548720973341474,-0.2380898242842026,1.1270727414257621e-13
Kring ES Nederland (Achmea) minus Molenaarspensioenfonds,Kring ES Nederland (Achmea),Molenaarspensioenfonds,0.009307140591677834,0.0377515319109607,8.330916835319446,8.021866911009e-17,0.7748417705404401,13,-0.29309464622635767,0.1668412740369799,-0.1304913985779262,-0.05759302173603889,0.001140761459243584,1.1376611653192964e-12
Kring HPE (Achmea) minus Medewerkers Apotheken,Kring HPE (Achmea),Medewerkers Apotheken,0.010783428191435322,0.043836435917023575,8.155464196213272,3.478412667177182e-16,0.9296616585332524,13,-0.2523692663815933,0.10925319372857084,-0.47471631990776203,-0.051124494031987204,0.013485765145760251,4.932737003323962e-12
Kring HP Nederland (Achmea) minus Levensmiddelenbedrijf,Kring HP Nederland (Achmea),Levensmiddelenbedrijf,0.009990579903315902,0.04056518840299317,8.154293186642308,3.512278847971088e-16,0.7754678369701337,13,-0.1452252939006818,0.05630411971775096,0.0791266875511095,-0.0975538343767746,-0.22617487712931333,4.980411406423003e-12
Kring AFM (De Nationale) minus Kring ES Nederland (Achmea),Kring AFM (De Nationale),Kring ES Nederland (Achmea),-0.011152564672182525,-0.04386951363635494,-7.577498103228167,3.5228216816639005e-14,0.5238917422043308,13,0.13523273313343095,-0.129302891434836,0.05228853715933135,0.057078007775141354,0.12406252974196925,4.995008862431244e-10
IKEA minus Kring ES Nederland (Achmea),IKEA,Kring ES Nederland (Achmea),-0.012322728198782301,-0.048387276762135834,-7.361726874836052,1.8154613584107962e-13,0.7924204859569974,13,0.3153899218677201,-0.3618123321658842,0.3087306704194485,0.04113074967958711,0.052075159254735104,2.573961113954827e-09
Atos Origin minus Kring B (De Nationale),Atos Origin,Kring B (De Nationale),0.017384309029338945,0.07137162779355677,7.330335015920064,2.295780996662975e-13,0.8888097948589567,14,-0.32951501731835486,-0.02772185275838751,0.060001039751784675,-0.020562693522801913,0.183806489939776,3.2547287189690994e-09
ABP minus Pensioenkring GE Nederland (Stap),ABP,Pensioenkring GE Nederland (Stap),0.00882854112035033,0.0357845818832232,7.220221374385363,5.19030109098882e-13,0.9389016888746515,14,-0.2918418629654162,0.1881003480673523,-0.8766870131998674,0.06739731177242791,0.32688976818534504,7.357770826585752e-09
Banden- en Wielenbranche minus Kring ES Nederland (Achmea),Banden- en Wielenbranche,Kring ES Nederland (Achmea),-0.010098651495957092,-0.039786818564613524,-7.0145977952623655,2.306113785041485e-12,0.6294280528429692,13,0.0754577979821655,-0.10689806213572825,0.05466455599901563,0.10300090530890532,0.21223619616855977,3.268916290296305e-08
Kring HPE (Achmea) minus TNO,Kring HPE (Achmea),TNO,-0.010490884738718674,-0.04130779331733414,-7.004976181099474,2.4702785632362572e-12,0.4299683586190315,13,0.05344490217203568,-0.22494986701588332,0.4384561117725496,-0.03506731492285079,-0.131936280051105,3.501372835531071e-08
Cap Gemini Nederland minus Pensioenkring GE Nederland (Stap),Cap Gemini Nederland,Pensioenkring GE Nederland (Stap),-0.004416926109553672,-0.017550993323480868,-6.94787800696503,3.708214398720744e-12,0.6415236639757615,14,-0.06700225339625966,-0.056404210005181504,0.15539833483357782,-0.030296567504751296,0.05526549693562633,5.255652267306911e-08
Kring AFM (De Nationale) minus Kring HP Nederland (Achmea),Kring AFM (De Nationale),Kring HP Nederland (Achmea),-0.00926180332006866,-0.036535697864486516,-6.9215953037462645,4.4658553126809036e-12,0.42676209963255063,13,0.10847416261220157,-0.10294454580219464,-0.032462368287447904,0.06914463241850123,0.11214758258707995,6.329010149131376e-08
Heineken minus Pensioenkring GE Nederland (Stap),Heineken,Pensioenkring GE Nederland (Stap),0.010543793261570832,0.04284690354392939,6.659669509040123,2.744440118180267e-11,0.9782902926753184,14,-0.2373275432984461,0.08650926740866643,-1.2307825425194094,0.13728759284083655,0.5801302653473601,3.8891460914732565e-07
