fund,risk_exposure_profile,duration_profile,alpha_interpretation,broad_risky_beta,interest_rate_beta,currency_beta,beta_equity,beta_credit,beta_real_estate,beta_duration,beta_fx,loading_share_equity,loading_share_credit,loading_share_real_estate,loading_share_duration,loading_share_fx_abs,alpha_annualized,p_alpha_holm,r2,n_obs,largest_average_factor_contribution,avg_annualized_simple_contribution_equity,avg_annualized_simple_contribution_duration,avg_annualized_simple_contribution_credit,avg_annualized_simple_contribution_real_estate,avg_annualized_simple_contribution_fx
HAL,hoog risky/rendementsgevoelig,laag durationprofiel,"negatieve alpha-puntinschatting, niet significant na Holm",1.3515520329250819,-0.10715229072077773,-0.3699084983815474,0.6164145562258899,0.6481254198454267,0.08701205685376517,-0.10715229072077773,-0.3699084983815474,0.3580764966815804,0.376497403256457,0.05054548464594826,0.0,0.21488061541601425,-0.034813070172725835,0.424379045391068,0.8868127377603104,40,equity (positief),0.07353121608234066,-0.0002475673092834992,0.004394464409110324,0.002972908748582246,-0.004511604817679083
Kring HP Nederland (Achmea),hoog risky/rendementsgevoelig,gemiddeld durationprofiel,alpha rond nul / geen sterk residueel signaal,1.226449848137765,0.39833263484509834,-0.24908773392498884,0.25872657719012654,1.0378267600299005,-0.07010348908226198,0.39833263484509834,-0.24908773392498884,0.13309160324179933,0.5338687230346614,0.0,0.2049063902550151,0.1281332834685242,-0.005012367130609374,1.0,0.9753780731100428,13,equity (positief),0.030863125572654252,0.0009203175960594327,0.007036744154952865,-0.0023951999703794875,-0.003038009197727598
Kring ES Nederland (Achmea),hoog risky/rendementsgevoelig,gemiddeld durationprofiel,alpha rond nul / geen sterk residueel signaal,1.127007162831544,0.42469094057106205,-0.2610027419707142,0.23196798896812865,0.9530760426059253,-0.058036868742510204,0.42469094057106205,-0.2610027419707142,0.12399813571822069,0.5094653491050076,0.0,0.22701789639804446,0.1395186187787273,0.002543658294732465,1.0,0.9790488419297644,13,equity (positief),0.027671131625176697,0.000981216479153337,0.006462111529904694,-0.001982924218363217,-0.003183331102839203
AVEBE,hoog risky/rendementsgevoelig,laag durationprofiel,alpha rond nul / geen sterk residueel signaal,1.1251648713637832,-0.00663401140449979,-0.4584229434658169,0.7242976664829182,0.43867951238428937,-0.03781230750342433,-0.00663401140449979,-0.4584229434658169,0.4467112445019,0.27055598821164245,0.0,0.0,0.28273276728645763,-0.005016193668722302,1.0,0.9639115969944817,40,equity (positief),0.0864004389321617,-1.5327384436864796e-05,0.002974364907086021,-0.001291919118403739,-0.005591175031998609
Sportfondsen,hoog risky/rendementsgevoelig,laag durationprofiel,alpha rond nul / geen sterk residueel signaal,1.1138856139389361,0.05743036569579649,-0.44519228855178145,0.4475410539089892,0.6903806053442383,-0.024036045314291328,0.05743036569579649,-0.44519228855178145,0.2728003445112484,0.4208241128647205,0.0,0.0350068969324237,0.27136864569160746,-0.015251494486758,0.6348724273447338,0.9643437463052276,40,equity (positief),0.05338653607109316,0.00013268854086867176,0.004680965914974987,-0.0008212306659555067,-0.005429806783601022
Kring Holland Casino (Stap),hoog risky/rendementsgevoelig,gemiddeld durationprofiel,alpha rond nul / geen sterk residueel signaal,1.0975929111148595,0.33790067317773653,-0.1487300690438217,0.35930706858409617,0.7095410568820124,0.028744785648750805,0.33790067317773653,-0.1487300690438217,0.22680324702095303,0.4478793479618234,0.01814439873323032,0.21329101637013728,0.09388198991385602,-0.00657289650672821,1.0,0.9477425109501733,30,equity (positief),0.04286122940011762,0.0007806940934345722,0.004810878922190956,0.0009821124545407736,-0.001813992646742937
Kring Chemours (Achmea),hoog risky/rendementsgevoelig,gemiddeld durationprofiel,alpha rond nul / geen sterk residueel signaal,0.9910461421154403,0.43187111561529523,-0.13343391106843605,0.2613925404967168,0.7271540733329612,0.002499528285762248,0.43187111561529523,-0.13343391106843605,0.16795215998610297,0.4672172244352854,0.0016060181891281006,0.2774895051150394,0.0857350922744442,-0.005213614459343319,1.0,0.9678730991889573,20,equity (positief),0.03118114454541297,0.0009978057336053714,0.004930299903934317,8.540045801422547e-05,-0.0016274324019373457
Pensioenkring GE Nederland (Stap),hoog risky/rendementsgevoelig,gemiddeld durationprofiel,alpha rond nul / geen sterk residueel signaal,0.9860126791587916,0.3475664649585022,-0.3042898435770697,0.438976212808351,0.531811059641965,0.015225406708475692,0.3475664649585022,-0.3042898435770697,0.2680166827178894,0.3246969468483545,0.00929586360256358,0.21220651197979712,0.1857839948513953,-0.013557275672230862,0.17495878902559484,0.9927128252961194,14,equity (positief),0.05236484835246123,0.0008030261784246573,0.003605821809188145,0.0005202008369991952,-0.003711284088523674
Kring B (De Nationale),hoog risky/rendementsgevoelig,laag durationprofiel,"negatieve alpha-puntinschatting, niet significant na Holm",0.977838663311765,0.2729401163498806,-0.28617956184978455,0.38499020759487457,0.6016616966863837,-0.008813240969493243,0.2729401163498806,-0.28617956184978455,0.24906021818370816,0.3892306622177206,0.0,0.17657208829768936,0.18513703130088197,-0.04187716543130948,1.0,0.9694891452371504,14,equity (positief),0.04592493454010831,0.0006306076122660302,0.0040794278876514585,-0.00030111874295310573,-0.003490401263047013
Pensura,hoog risky/rendementsgevoelig,laag durationprofiel,alpha rond nul / geen sterk residueel signaal,0.975431069044481,0.22163378598477185,0.04898671551246342,0.423680505164039,0.531061732158143,0.020688831722298955,0.22163378598477185,0.04898671551246342,0.34001843517587754,0.42619562842592934,0.01660351161333119,0.17786887093960113,0.039313553845260696,-0.0061851747305828875,1.0,0.9719258399630432,40,equity (positief),0.05054024513281556,0.000512068194468616,0.0036007411676061358,0.0007068676577607759,0.0005974685704039761
