fund,year,asset_management_costs,transaction_costs,ter_annual,ter_quarterly,source_type,confidence,notes,dnb_reporter,source_asset_management_post,source_transaction_post
ABN AMRO Bank,2015,0.0011,0.0005,0.0016,0.00039976022375398657,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,ABN AMRO Bank,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
ABN AMRO Bank,2016,0.0011,0.0006,0.0017,0.00042472933086612485,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,ABN AMRO Bank,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
ABN AMRO Bank,2017,0.001,0.0007,0.0017,0.00042472933086612485,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,ABN AMRO Bank,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
ABN AMRO Bank,2018,0.0011,0.0007,0.0018,0.000449696568543434,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,ABN AMRO Bank,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
ABN AMRO Bank,2019,0.0009,0.0004,0.0013,0.0003248416825412104,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,ABN AMRO Bank,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
ABN AMRO Bank,2020,0.001,0.0006,0.0015999999999999,0.0003997602237537645,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,ABN AMRO Bank,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
ABN AMRO Bank,2021,0.001,0.0007,0.0017,0.00042472933086612485,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,ABN AMRO Bank,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
ABN AMRO Bank,2022,0.0011,0.0008,0.0019,0.0004746619371123195,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,ABN AMRO Bank,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
ABN AMRO Bank,2023,0.0012,0.0007,0.0019,0.0004746619371123195,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,ABN AMRO Bank,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
ABN AMRO Bank,2024,0.0011,0.0004,0.0015,0.00037478924688016946,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,ABN AMRO Bank,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
